"track_id","artist_name","Song_Success","album_release_date","hit_n","Drums_Energy","Drums_Complexity","Variety_of_musical_instruments","Mixing_Quality","Harmonic_Richness","Mixing_Character","Emotional_Intensity","is_feat","n_feat","status_guest","higher_guest"
"5OFMeePbu2eEX1Hyf2tzYj","044 ROSE","hit",2017-06-23,0,1.74840716926014,0.531355678473629,0.677569684041901,0.595926770266747,1.20929001602588,1.3200579718751,1.66175947031192,"TRUE","1","0,1",1
"29kkmN00FdzizRg5xrVmBF","044 ROSE","none",2017-12-08,1,0.714910414110065,1.29138365352863,0.735496066739511,0.669723328948375,0.673320810208335,1.02161440590101,0.46049638150846,"TRUE","1","1",0
"7L1tQKY6mcy0sGXntrABgW","044 ROSE","none",2018-02-13,1,0.778734174663074,0.57468031453966,0.950733829559666,0.516570898986557,0.672519544497826,0.746304201563462,1.00776219634019,"FALSE","0",NA,0
"4jwDiUBqLQCCuyWkbX87qN","044 ROSE","none",2018-02-13,1,1.29122890184981,0.561351790563245,0.68890637972765,0.514869319429011,1.16083276025358,0.977033639720361,1.0699276603419,"TRUE","1","1,2",1
"2DYUk5AkUV7kPTvd58LVCw","044 ROSE","none",2018-02-13,1,0.900053625320385,0.551893412179877,0.600117280964807,0.786979759498106,0.530228430204656,1.00649410622584,0.458813061879959,"FALSE","0",NA,0
"31SVg9OKD4b6RA4hQqLBCL","044 ROSE","none",2018-02-13,1,1.17573502995796,0.566563748616473,1.01183573367592,1.30142121738909,0.53600048467599,0.748296719919636,0.492311365230908,"TRUE","1","1,3",1
"0JyYgiWVsz7QlDuTO3NFou","044 ROSE","none",2018-02-13,1,0.741913279191341,1.399379694774,0.7168961731569,0.797583026459728,1.46752102344046,1.51656672228651,1.70082985835955,"FALSE","0",NA,0
"1IhUCj4bBbTWRRJdxQZCnw","044 ROSE","none",2018-02-13,1,1.31740654193408,0.80322833546113,1.23556147994487,0.517969349336153,0.527238188606732,0.683635287184952,0.778335890750043,"TRUE","1","1,4",1
"7i3AJazliXBKfd2UkKPq1J","044 ROSE","none",2018-02-13,1,0.676042221828147,0.658116730910024,0.750335482559728,0.826375588680687,0.501111961947302,1.10366991061652,0.702726048808761,"FALSE","0",NA,0
"6T0mPmrzUj73ffJYXEGssX","044 ROSE","none",2018-02-13,1,0.993193893578746,0.543195759359292,0.820008643644649,0.627979654320921,0.848814307244268,0.746304201563462,0.94776147663365,"TRUE","1","1,7",1
